language,setCode,translation
French,NEO,Kamigawa: La Dynastie Néon
German,NEO,Kamigawa: Neon-Dynastie
Italian,NEO,Kamigawa: Dinastia Neon
Japanese,NEO,
Korean,NEO,
Portuguese (Brazil),NEO,
Russian,NEO,
Spanish,NEO,Kamigawa: Dinastía de neón
Chinese Simplified,NPH,
Chinese Traditional,NPH,
French,NPH,La Nouvelle Phyrexia
German,NPH,Das neue Phyrexia
Italian,NPH,Nuova Phyrexia
Japanese,NPH,
Korean,NPH,
Portuguese (Brazil),NPH,
Russian,NPH,
Spanish,NPH,Nueva Phyrexia
Chinese Simplified,ODY,
Chinese Traditional,ODY,
French,ODY,Odyssée
German,ODY,Odyssee
Italian,ODY,Odissea
Japanese,ODY,
Korean,ODY,
Portuguese (Brazil),ODY,
Russian,ODY,
Spanish,ODY,Odisea
Chinese Simplified,OGW,
Chinese Traditional,OGW,
French,OGW,Le serment des Sentinelles
German,OGW,Eid der Wächter
Italian,OGW,Oath of the Gatewatch
Japanese,OGW,
Korean,OGW,
Portuguese (Brazil),OGW,
Russian,OGW,
Spanish,OGW,El Juramento de los Guardianes
Chinese Simplified,ONE,
Chinese Traditional,ONE,
French,ONE,Tous Phyrexians
German,ONE,Phyrexia: Alles wird eins
Italian,ONE,Phyrexia: Tutto Diverrà Uno
Japanese,ONE,
Korean,ONE,
Portuguese (Brazil),ONE,
Russian,ONE,
Spanish,ONE,Pirexia: Todos serán uno
Chinese Simplified,ONS,
Chinese Traditional,ONS,
French,ONS,Carnage
German,ONS,Aufmarsch
Italian,ONS,Assalto
Japanese,ONS,
Korean,ONS,
Portuguese (Brazil),ONS,
Russian,ONS,
Spanish,ONS,Embestida
Chinese Simplified,ORI,
Chinese Traditional,ORI,
French,ORI,Magic Origines
German,ORI,Magic Ursprünge
Italian,ORI,Magic Origins
Japanese,ORI,
Korean,ORI,
Portuguese (Brazil),ORI,
Russian,ORI,
Spanish,ORI,Magic Orígenes
Chinese Simplified,P02,
Chinese Traditional,P02,
French,P02,Portal Second Age
German,P02,Portal Zweites Zeitalter
